Geo-Spatail Data;Geometry;Class;Subclass;Code		
Road;Polygon;Road;National Highway,State Highway,Major District Road,Other District Road,Expressway,Bypass,Ring Road,Service Road,Major City Road,Minor City Road,Other Public Road,Other Private Road,BRTS,Cycle Track,Village road;01-01,01-02,01-03,01-04,01-05,01-06,01-07,01-08,01-09,01-10,01-11,01-12,01-13,01-14,01-15
Road;Line;Road;National Highway,State Highway,Major District Road,Other District Road,Expressway,Bypass,Ring Road,Service Road,Major City Road,Minor City Road,Other Public Road,Other Private Road,BRTS,Cycle Track,Village road,Foot path,Cart track,Ropeway,Carriageway,Right of way;01-01,01-02,01-03,01-04,01-05,01-06,01-07,01-08,01-09,01-10,01-11,01-12,01-13,01-14,01-15,01-16,01-17,01-18,01-19,01-20
