Attribute name,Attribute field name,Attribute field type,Attribute field width
Code,Code,alphanumeric,10
Class,Class,text,25
Sub-Class,Sub_Class,text,50
Ward Number,Ward_No,alphanumeric,10
Road ID,Rd_ID,alphanumeric,15
Road Name,Rd_Name,text,30
Locality Name,Locality,text,50
Colony Name,Colony,text,50
Number of floors,No_floors,numeric,5
Construction Type,Cons_type,text,15
Area in sq. mt.,Area,double,10
Description,Descr,text,50
